name,price,link
Pran Chinigura Rice 1kg,"৳160
  Per Piece",https://www.shwapno.com/pran-chinigura-rice-1kg
Pran Chinigura Rice 1kg,"৳160
  Per Piece",https://www.shwapno.com/pran-chinigura-rice-1kg
Pran Chinigura Rice 2kg,"৳300
  Per Piece",https://www.shwapno.com/pran-chinigura-rice-2kg
Pran Chinigura Rice 2kg,"৳300
  Per Piece",https://www.shwapno.com/pran-chinigura-rice-2kg
Pran Nazirshail Rice 5kg,"৳480
  Per Piece",https://www.shwapno.com/pran-nazirshail-rice-5kg
Pran Nazirshail Rice 5kg,"৳480
  Per Piece",https://www.shwapno.com/pran-nazirshail-rice-5kg
Shwapno Atop Rice 1kg,"৳117
  Per Piece",https://www.shwapno.com/shwapno-premium-atop-rice-1kg
Shwapno Atop Rice 1kg,"৳117
  Per Piece",https://www.shwapno.com/shwapno-premium-atop-rice-1kg
ACI Nutrilife Rice Bran Oil 2Ltr.,"৳475
  Per Piece",https://www.shwapno.com/aci-nutrilife-rice-bran-oil-2-liter-pet
ACI Nutrilife Rice Bran Oil 2Ltr.,"৳475
  Per Piece",https://www.shwapno.com/aci-nutrilife-rice-bran-oil-2-liter-pet
BPM Flated Rice Red 500gm,"৳80
  Per Piece",https://www.shwapno.com/bpm-flated-rice-red-500gm
BPM Flated Rice Red 500gm,"৳80
  Per Piece",https://www.shwapno.com/bpm-flated-rice-red-500gm
BPM Puffed Rice (Handmade) 500gm,"৳135
  Per Piece",https://www.shwapno.com/bpm-puffed-rice-handmade-500gm
BPM Puffed Rice (Handmade) 500gm,"৳135
  Per Piece",https://www.shwapno.com/bpm-puffed-rice-handmade-500gm
Fortune Basmati Rice Biriyani 5kg,"৳2,300
৳1,950
  Per Piece",https://www.shwapno.com/Fortune-Basmati-Rice-Biriyani-5Kg
Fortune Basmati Rice Biriyani 5kg,"৳2,300
৳1,950
  Per Piece",https://www.shwapno.com/Fortune-Basmati-Rice-Biriyani-5Kg
BPM Chinigura Rice (Vanga) 1kg,৳80,https://www.shwapno.com/BPM-Chinigura-Rice-Vanga-1-Kg
BPM Chinigura Rice (Vanga) 1kg,৳80,https://www.shwapno.com/BPM-Chinigura-Rice-Vanga-1-Kg
Katari Nazirshail Rice Loose Kg,"৳90
  Per 1kg
  ❨Min. 0.50kg ❩",https://www.shwapno.com/katari-nazirshail-rice-loose-11
Katari Nazirshail Rice Loose Kg,"৳90
  Per 1kg
  ❨Min. 0.50kg ❩",https://www.shwapno.com/katari-nazirshail-rice-loose-11
BPM Awus Rice (Dhekichata) 1kg,"৳115
  Per Piece",https://www.shwapno.com/BPM-Awus-Rice-Dhekichata-1-Kg
BPM Awus Rice (Dhekichata) 1kg,"৳115
  Per Piece",https://www.shwapno.com/BPM-Awus-Rice-Dhekichata-1-Kg
BPM Biroi Rice 1kg,৳120,https://www.shwapno.com/BPM-Biroi-Rice-1-Kg
